Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Collagen chain trimerization,1.68,0.227,0.632,1.06176,"COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1"
Integrin cell surface interactions,2.28,0.212,0.471,1.07388,"COL16A1,COL1A2,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,F11R,ICAM1,ICAM5,ITGAE,ITGB3,ITGB6,ITGB8,KDR,TNC"
ERBB4 Signaling,1.19,0.179,0.905,1.07695,"AKT1,MAP2K1,NRG1,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1"
White Adipose Tissue Browning Pathway,0.544,0.129,2,1.088,"ADCY6,ADCY7,BDNF,CACNA1F,CACNA2D2,CACNG7,CAMKK2,CATSPER3,CREB3L2,DIO2,KDR,MAPK13,PPARA,PPARG,PPARGC1A,PRDM16,PRKAB2,PRKACB"
WNT/Ca+ pathway,1.89,0.212,0.577,1.09053,"AXIN1,CREB3L2,DVL1,DVL3,FZD1,FZD2,FZD5,NFKB2,PLCB3,PLCD3,PPP3CA,RELA,RELB,ROR1"
Gαs Signaling,0.607,0.134,1.807,1.096849,"ADCY6,ADCY7,ADD1,ADD3,ADORA2B,ADRB2,BRAF,CREB3L2,GNAI1,GNB1,GNG11,GPER1,MAP2K1,PRKACB,PTGER4,RAP1A,RAPGEF3"
Pancreatic Secretion Signaling Pathway,2.34,0.169,0.469,1.09746,"ADCY6,ADCY7,ADORA2B,AHCYL1,AKT1,AQP1,ARHGEF1,ARHGEF2,ARHGEF3,ATP2A1,ATP2B4,BET1L,CA13,EGFR,EIF4EBP1,LIPA,LIPH,NAPA,P2RY11,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI,RAP1A,RAPGEF3,SLC12A2,SLC4A2,SLC4A4,SLC4A7,SLC9A1,STK39,STX16,STXBP1,STXBP4,STXBP5,VAMP2,VTI1A"
Epithelial Adherens Junction Signaling,2.91,0.196,0.378,1.09998,"ACVR2B,AFDN,AKT1,ARPC4,CTNNA1,CTNNB1,EGFR,FRMD6,FYN,LEF1,MYL12A,MYL12B,NECTIN2,NF2,NOTCH1,NOTCH2,NOTCH3,PAK1,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKAB2,RAP1A,RASD1,RRAS,SNAI2,STK3,TCF3,TGFBR3"
Ferroptosis Signaling Pathway,1.3,0.161,0.853,1.1089,"BECN1,BRAF,CDKN1A,CYBB,EIF2A,KEAP1,LINC00472,MACROH2A1,MAP2K1,NCOA4,NFS1,PRKAB2,RAP1A,RASD1,RB1,RBL1,RBL2,RRAS,SAT1,TFRC,TP53,TXNRD1"
YAP1- and WWTR1 (TAZ)-stimulated gene expression,1.11,0.267,1,1.11,"CCN2,HIPK2,KAT2B,TEAD3"
Pentose phosphate pathway,1.11,0.267,1,1.11,"DERA,PGM2,TALDO1,TKT"
ER-Mitochondrial Communication Signaling Pathway,1.44,0.183,0.775,1.116,"ADRB2,AKT1,CASP8,EIF2A,ERN1,IL1B,MARCHF5,MICOS10,OSBPL5,PINK1,RHOT1,SPIRE1,SYNJ2BP,TOMM34,TP53"
Cysteine Biosynthesis III (mammalia),0.559,0.167,2,1.118,"AHCYL1,EEF1AKMT3,FTSJ1,PRMT3"
Toll Like Receptor 3 (TLR3) Cascade,1.59,0.242,0.707,1.12413,"BIRC2,CASP8,IKBKE,IRF3,TICAM1,TLR3,TRAF3,UBE2V1"
IL-9 Signaling,2.98,0.314,0.378,1.12644,"CISH,JAK3,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB,SOCS2,STAT5A,STAT5B"
p75 NTR receptor-mediated signalling,3.23,0.203,0.354,1.14342,"ARHGEF1,ARHGEF2,ARHGEF3,ARHGEF37,BEX3,CASP2,CASP3,FGD1,HDAC1,KALRN,MAGED1,NET1,NFKBIA,NGF,NGFR,NME1,NME7,PIK3C2B,PIK3R1,PIK3R3,PLEKHG5,PRKCI,RELA,RIPK2,SOS1,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39"
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza,1.62,0.192,0.707,1.14534,"APC,AXIN1,CSNK1D,CSNK1E,CTNNB1,DVL1,DVL3,FZD1,FZD2,FZD5,IFNAR1,LEF1,NCOA4,TCF3,WNT2B"
Glycogen Degradation II,2.57,0.5,0.447,1.14879,"AGL,PGM2,PGM3,PYGB,PYGL"
MyD88 cascade initiated on plasma membrane,0.858,0.2,1.342,1.151436,"ECSIT,IRAK2,MAP3K1,PELI1,UBE2V1"
Transcriptional Regulation by NPAS4,1.45,0.229,0.816,1.1832,"AGO2,AGO4,ARNT,BDNF,CDK5,MAGED1,NAMPT,SRF"
Hepatic Cholestasis,1.78,0.16,0.667,1.18726,"ADCY6,ADCY7,AKT1,ATP8B1,CD14,CHP1,GPER1,IKBKE,IL1A,IL1B,IL1RAPL1,IRAK2,IRF3,MAP2K1,MAP3K4,NFKB2,NFKBIA,NGFR,PPARA,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,RELA,RELB,SLC4A2,TGFB1,TGFB3,TLR4,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,TRAF2"
Purine Nucleotides Degradation II (Aerobic),1.19,0.25,1,1.19,"ADA,IMPDH1,LACC1,NT5M,XDH"
Cancer Drug Resistance by Drug Efflux,0.714,0.155,1.667,1.190238,"AKT1,BRAF,MAP2K1,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,TP53"
Histone Modification Signaling Pathway,1.29,0.143,0.926,1.19454,"BRD1,BRD2,BRWD1,CARM1,CBX7,DPF3,EZH1,GLYR1,H1-10,HDAC1,HDAC5,ING5,KAT2B,KAT8,KDM6B,KDM7A,KDM8,KMT5B,KMT5C,L3MBTL2,MACROH2A1,MTF2,MYC,NFKB2,ORC1,PBRM1,PDGFC,PHF2,PHF23,PHF8,PIM1,PPARD,PRDM16,PRMT6,RIOX1,RNF20,SMARCA4,SPIN1,SUMO3,SUV39H2,TRIM24,UHRF1,WDR5"
Cyclophilin Signaling Pathway,2.62,0.173,0.457,1.19734,"AKT1,APOE,BDNF,BRAF,CASP3,CCL2,CCND1,CHP1,CREB3L2,CTNNB1,CYBB,CYC1,DDIT3,HLA-B,IL1B,IRF3,JAK3,LEF1,LRP1,MAP2K1,MAPK13,NBN,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PLRG1,PPIA,PPIF,PPP3CA,PPP3CC,SF3B2,STAT5A,STAT5B,TCF3,TIMM10,TIMM13,TIMM44,TOMM34,TOMM40L,TP53,WNT2B"
Virus Entry via Endocytic Pathways,2.83,0.208,0.426,1.20558,"AP1S1,AP2A1,AP2M1,AP3S2,AP4S1,AP5M1,AP5S1,CAV1,FLNB,FLNC,FOLR1,FYN,HLA-B,ITGB3,ITGB6,ITGB8,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,TFRC"
Eukaryotic Translation Initiation,0.293,0.113,4.123,1.208039,"EIF2B4,EIF2B5,EIF3D,EIF3G,EIF3H,EIF4EBP1,MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19"
Vitamin-C Transport,0.916,0.208,1.342,1.229272,"GLRX,GSTO1,SLC2A1,TXNRD1,TXNRD3"
EGF Signaling,1.37,0.196,0.905,1.23985,"AKT1,EGFR,MAP2K1,MAP2K7,MAP3K1,MAPK13,PIK3C2B,PIK3R1,PIK3R3,SOS1,SRF"
Transcriptional Regulation by VENTX,1.97,0.25,0.632,1.24504,"AGO4,ANAPC1,ANAPC11,ANAPC4,CCND1,CSF1R,CTNNB1,LEF1,RELA,TP53"
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism",1.53,0.273,0.816,1.24848,"INPP5E,INPP5F,INPP5K,INPPL1,ITPKC,SYNJ1"
TP53 Regulates Transcription of Cell Cycle Genes,2.19,0.245,0.577,1.26363,"ARID3A,CARM1,CCNE2,CDKN1A,CNOT11,E2F7,GADD45A,RBL1,RBL2,TFDP1,TP53,ZNF385A"
IGF-1 Signaling,1.65,0.181,0.775,1.27875,"AKT1,CCN1,CCN2,CCN3,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PRKCI,PTK2,RAP1A,RASD1,RRAS,SOCS2,SOCS4,SOCS7,SOS1,SRF"
α-Adrenergic Signaling,0.768,0.144,1.667,1.280256,"ADCY6,ADCY7,CAMK4,EPM2A,GNAI1,GNB1,GNG11,MAP2K1,PRKACB,PRKCD,PRKCI,PYGB,PYGL,RAP1A,RASD1,RRAS"
Interleukin-10 signaling,0.913,0.178,1.414,1.290982,"CCL2,CXCL2,FPR1,ICAM1,IL1A,IL1B,TIMP1,TNFRSF1B"
G alpha (s) signalling events,0.73,0.138,1.789,1.30597,"ADCY6,ADCY7,ADORA2B,ADRB2,ARRB1,GIPR,GNAI1,GNB1,GNG11,GPR176,GPR39,GRK2,GRK3,P2RY11,PDE10A,PDE2A,PDE4A,PDE7B,PDE8B,PTGER4"
Mitochondrial iron-sulfur cluster biogenesis,1.32,0.308,1,1.32,"ISCA1,NFS1,SLC25A28,SLC25A37"
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes,0.823,0.151,1.604,1.320092,"AKT1,ARPC4,CBL,FYN,GAB2,PAK1,PIK3R1,PIK3R3,PLD2,PLD3,PRKCD,PRKCI,TLN1,YES1"
VEGF Signaling,1.15,0.165,1.155,1.32825,"ACTN1,AKT1,ARNT,EIF2B4,EIF2B5,KDR,MAP2K1,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RRAS,SOS1"
UVB-Induced MAPK Signaling,1.47,0.204,0.905,1.33035,"AKT1,EGFR,EIF4EBP1,MAP2K1,MAPK13,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,TP53"
Smooth Muscle Contraction,0.704,0.163,1.89,1.33056,"ANXA6,MYL12A,MYL12B,PAK1,TLN1,TPM2,TPM4"
Oxytocin in Brain Signaling Pathway,1.83,0.164,0.73,1.3359,"AKT1,CACNA1F,CACNA2D2,CACNG7,CAMKK1,CAMKK2,CATSPER3,CREB3L2,DDIT3,EGFR,EIF2A,GNAI1,GNB1,GNG11,IL1B,MAP2K1,MAPK7,NFKB2,NLRP1,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PNPLA2,PRKCD,PRKCI,PTPN1,RAP1A,RASD1,RRAS,TLR4"
Paxillin Signaling,0.89,0.151,1.508,1.34212,"ACTN1,ITGAE,ITGB3,ITGB6,ITGB8,MAPK13,PAK1,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RRAS,SOS1,TLN1"
MyD88-independent TLR4 cascade,2.14,0.263,0.632,1.35248,"BIRC2,CASP8,CD14,IKBKE,IRAK2,IRF3,TICAM1,TLR4,TRAF3,UBE2V1"
Docosahexaenoic Acid (DHA) Signaling,3.05,0.179,0.447,1.36335,"ADCY6,ADCY7,AKT1,BDNF,BIK,BRAF,CASP3,CASP7,CASP8,CCND1,CREB3L2,EIF2A,FABP5,IL1B,MAP2K1,NGFR,OSGIN1,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PLCD3,PNPLA2,PRKAB2,PRKACB,PRKCD,PRKCI,RELA,SPTB,SPTBN1,SPTBN2,SPTBN5,STXBP1,STXBP4,STXBP5,SYNJ1,SYT1,SYT11,SYT7,TGFB1,TNFRSF11B,TNFRSF1B,ULK1"
"NER (Nucleotide Excision Repair, Enhanced Pathway)",1.65,0.187,0.832,1.3728,"CHAF1A,COPS4,ERCC2,MNAT1,POLA1,POLA2,POLD4,POLE2,POLK,POLR2C,POLR2L,RBBP4,RFC2,RFC3,RPA3,XAB2,XRCC1"
nNOS Signaling in Neurons,1.7,0.22,0.816,1.3872,"CAPN10,CAPNS1,CHP1,DLG4,GRIN2D,NOS1AP,PPP3CA,PPP3CC,PRKCD,PRKCI,RASD1"
Methionine Degradation I (to Homocysteine),0.698,0.19,2,1.396,"AHCYL1,EEF1AKMT3,FTSJ1,PRMT3"
Maturation of TCA enzymes and regulation of TCA cycle,1.73,0.3,0.816,1.41168,"CSKMT,IDH2,ISCA1,NFS1,SDHA,SDHAF4"
Parkinson's Signaling Pathway,0.661,0.127,2.137,1.412557,"ALDH16A1,ALDH1L1,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,CACNA1F,CACNA2D2,CACNG7,CASP3,CATSPER3,DDIT3,EIF2A,ERN1,GRIN2D,HSPA5,IL1A,IL1B,MAPK13,NDUFA10,NFKB2,PINK1,PPARGC1A,TCIRG1,TGFB1,TGFB3,TLR1,TLR3,TLR4,TLR6,TLR7,TNFSF12,TNFSF15,TNFSF9,TUBA1A,TUBG1,TUBG2"
NCAM signaling for neurite out-growth,1.7,0.206,0.832,1.4144,"COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,FYN,PTK2,SOS1,SPTB,SPTBN1,SPTBN2,SPTBN5"
mTOR Signaling,1.67,0.159,0.853,1.42451,"AKT1,EIF3D,EIF3G,EIF3H,EIF4EBP1,MAPKAP1,MT-RNR2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLD2,PLD3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKAB2,PRKCD,PRKCI,PRR5L,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RPS16,RPS19,RRAS,ULK1"
Semaphorin interactions,0.767,0.156,1.897,1.454999,"CDK5,DPYSL2,FYN,MYL12B,PAK1,PLXNB1,RHOC,RRAS,SEMA4A,TLN1"
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza,1.28,0.177,1.155,1.4784,"BRAF,CASP3,CCL2,IL1B,MAP2K1,MAP2K6,MAP2K7,MAPK13,NFKB2,NFKBIA,PLAAT4,PLAAT5,PNPLA2,TLR4"
Endosomal Sorting Complex Required For Transport (ESCRT),0.906,0.194,1.633,1.479498,"CHMP3,HGS,TSG101,VPS25,VPS37A,VPS4A"
fMLP Signaling in Neutrophils,1.67,0.173,0.894,1.49298,"ARPC4,CHP1,CYBB,FPR1,GNAI1,GNB1,GNG11,MAP2K1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PPP3CA,PPP3CC,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS"
Role of CHK Proteins in Cell Cycle Checkpoint Control,2.41,0.241,0.632,1.52312,"CDKN1A,CLSPN,E2F3,E2F6,E2F7,NBN,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RFC2,RFC3,TP53"
Role of NFAT in Cardiac Hypertrophy,2.09,0.166,0.73,1.5257,"ADCY6,ADCY7,AKT1,CACNA1F,CACNA2D2,CACNG7,CAMK4,CATSPER3,CHP1,GNAI1,GNB1,GNG11,HDAC1,HDAC5,HDAC7,HDAC9,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAPK13,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SHC3,SOS1,TGFB1,TGFB3"
ROBO SLIT Signaling Pathway,2.44,0.195,0.626,1.52744,"AKT1,ARPC4,CABLES1,CASP3,CDK5,CDKN1A,CTNNB1,ENAH,FRK,FYN,GIT1,KDR,MYL12A,MYL12B,MYO9B,PAK1,PAX8,PDGFC,PRDM16,PRKACB,ROBO3,SLIT2,SRGAP1,TGFB1,YES1"
Assembly of collagen fibrils and other multimeric structures,3.09,0.262,0.5,1.545,"BMP1,COL1A2,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CTSS,LAMA3,LAMB3,LOX,LOXL1,LOXL4,PLEC"
Huntington's Disease Signaling,4.09,0.188,0.378,1.54602,"AKT1,BDNF,BET1L,CAPN10,CAPNS1,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CDK5,CREB3L2,CTSD,DLG4,EGFR,GNB1,GNG11,HDAC1,HDAC5,HDAC7,HDAC9,HIP1,HSPA5,IFT57,MAP2K7,MAP3K10,NAPA,NGF,PIK3C2B,PIK3R1,PIK3R3,PLCB3,POLR2C,POLR2L,PRKCD,PRKCI,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SDHA,SHC3,SOS1,STX16,TBP,TCERG1,TP53,VAMP2,VTI1A"
Adipogenesis pathway,4.38,0.232,0.354,1.55052,"ACVR2B,AKT1,BMP2,BMP4,BMPR1A,CDK5,CTNNB1,DDIT3,DGKD,ERCC2,FZD1,FZD2,FZD5,HDAC1,HDAC5,HDAC7,HDAC9,KAT2B,LPIN1,MNAT1,NR1D1,PPARG,RB1,RBBP4,SAP30,SAP30L,SOX9,SREBF1,STAT5B,TGFB1,TP53,TXNIP"
Platelet homeostasis,0.801,0.151,1.941,1.554741,"ATP2A1,ATP2B4,GNB1,GNG11,P2RX4,P2RX5,P2RX6,PDE10A,PDE2A,PDE9A,PPP2R1B,PPP2R5A,PPP2R5D"
Signaling by ERBB4,1.56,0.203,1,1.56,"APOE,BTC,DLG4,EGFR,ERBB3,EREG,GFAP,HBEGF,NRG1,PIK3R1,SOS1,STAT5A"
Transcriptional Regulation by MECP2,1.06,0.175,1.508,1.59848,"AGO2,AGO4,BDNF,CAMK4,FKBP5,GAD1,HDAC1,HIPK2,NOTCH1,PPARG,PTPN1"
Fc Epsilon RI Signaling,1.14,0.158,1.414,1.61196,"AKT1,FYN,INPP5F,INPP5K,INPPL1,MAP2K1,MAP2K6,MAP2K7,MAPK13,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1,SYNJ1"
MAP kinase activation,0.862,0.179,1.89,1.62918,"IRAK2,MAP2K1,MAP2K6,MAP2K7,MAPKAPK2,RIPK2,UBE2V1"
EGR2 and SOX10-mediated initiation of Schwann cell myelination,1.44,0.241,1.134,1.63296,"ADGRG6,ADGRV1,DAG1,LAMB1,LAMC1,NAB2,SMARCA4"
ERK5 Signaling,0.703,0.149,2.333,1.640099,"AKT1,CREB3L2,EGFR,ELK4,FOSL1,MAPK7,MYC,NGF,RAP1A,RASD1,RRAS"
IL-33 Signaling Pathway,1.01,0.144,1.633,1.64933,"AKT1,AREG,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CCL2,CREB3L2,GATA3,ICAM1,ICAM5,IKBKE,IL1A,IL1B,IRF3,LPIN1,MACROH2A1,MAP2K1,MAPK13,MAPKAPK2,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PRKACB"
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza,1.84,0.209,0.905,1.6652,"AKT1,GNAI1,IFNAR1,IRF3,KPNA3,MAP2K1,MLH1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB"
Renal Cell Carcinoma Signaling,1.32,0.179,1.265,1.6698,"AKT1,ARNT,ETS1,MAP2K1,PAK1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SLC2A1,SOS1,TGFB1"
PEDF Signaling,3.55,0.25,0.471,1.67205,"AKT1,BDNF,CASP7,CASP8,IKBKE,MAPK13,NFKB2,NFKBIA,NGF,PIK3C2B,PIK3R1,PIK3R3,PNPLA2,PPARG,RAP1A,RASD1,RELA,RELB,RRAS,SRF,TP53"
Androgen Signaling,1.11,0.149,1.508,1.67388,"CACNA1F,CACNA2D2,CACNG7,CATSPER3,CCND1,ERCC2,GNAI1,GNB1,GNG11,GTF2E2,KAT2B,MNAT1,NCOA4,NFKB2,POLR2C,POLR2L,PRKACB,PRKCD,PRKCI,RELA,RELB,TAF2,TAF4B,TAF6L,TBP,TGFB1I1"
IL-17A Signaling in Airway Cells,1.45,0.191,1.155,1.67475,"AKT1,IKBKE,JAK3,MAP2K1,MAPK13,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB,TRAF3IP2"
Thyroid Cancer Signaling,2.31,0.218,0.728,1.68168,"AKT1,BDNF,BRAF,CCND1,CTNNB1,LEF1,MAP2K1,MYC,NGF,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,TCF3,TP53"
ID1 Signaling Pathway,5.76,0.228,0.295,1.6992,"ACVR2B,AKT1,ATF3,BHLHE41,BMP2,BMP4,BMPR1A,BRAF,CAV1,CCN2,CCND1,CDK4,CDKN1A,CHRNE,CTNNB1,EGFR,EGR1,ETS1,FRK,FYN,MAPK13,MYC,NFKB2,NGFR,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLXNB1,PLXNB2,PTGER4,RAP1A,RASD1,RHOC,RRAS,SEMA4C,SHH,SMAD4,TGFB1,TGFB3,TGFBR3,TNFRSF11B,TNFRSF1B,TP53,USP1,YES1"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian),2.1,0.353,0.816,1.7136,"INPP5E,INPP5F,INPP5K,INPPL1,ITPKC,SYNJ1"
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis",2.1,0.353,0.816,1.7136,"INPP5E,INPP5F,INPP5K,INPPL1,ITPKC,SYNJ1"
Interleukin-2 family signaling,1.9,0.234,0.905,1.7195,"GAB2,INPP5F,INPP5K,INPPL1,JAK3,PIK3R1,PIK3R3,SOS1,STAT5A,STAT5B,SYNJ1"
IL-2 Signaling,1.36,0.19,1.265,1.7204,"AKT1,JAK3,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1,STAT5A,STAT5B"
Actin Cytoskeleton Signaling,1.35,0.149,1.279,1.72665,"ABI2,ACTN1,APC,ARHGEF1,ARPC4,CD14,FGD1,FGF5,GIT1,GSN,IQGAP2,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MSN,MYL12A,MYL12B,MYO10,MYO18A,NCKAP1,PAK1,PDGFA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RRAS,SLC9A1,SOS1,SSH1,TLN1"
COPI-mediated anterograde transport,4.41,0.255,0.392,1.72872,"ANK1,ANK2,ARFGAP1,BET1,BET1L,COG1,COG2,COG6,COPE,COPG1,COPZ1,DYNC1I1,DYNC1LI1,FOLR1,GBF1,GOLGA2,GORASP1,KDELR3,NAPA,SPTB,SPTBN1,SPTBN2,SPTBN5,TMED3,TMEM115,TUBA1A"
ATF6 (ATF6-alpha) activates chaperone genes,1.73,0.4,1,1.73,"DDIT3,HSP90B1,HSPA5,NFYC"
PIP3 activates AKT signaling,1.75,0.172,1,1.75,"AKT1,AREG,BDNF,BTC,CDKN1A,EGFR,ERBB3,EREG,ESR2,FGF5,FYN,GAB2,HBEGF,MAPKAP1,NR4A1,NRG1,PDGFA,PDGFRB,PIK3R1,PIK3R3,PPP2R1B,PPP2R5A,PPP2R5D,PRR5L,TRIB3"
Gαq Signaling,2.17,0.178,0.816,1.77072,"ADRA1B,AKT1,CHP1,EPM2A,GNAI1,GNB1,GNG11,GRK2,IKBKE,MAP2K1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLD2,PLD3,PPP3CA,PPP3CC,PRKCD,PRKCI,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3"
4-1BB Signaling in T Lymphocytes,2.51,0.294,0.707,1.77457,"IKBKE,MAP2K1,MAP3K14,MAPK13,NFKB2,NFKBIA,RELA,RELB,TNFSF9,TRAF2"
Pyroptosis Signaling Pathway,4.41,0.255,0.408,1.79928,"CASP3,CASP4,CASP8,DHX9,GAS5,GSDMB,GSDME,IL1A,IL1B,MAPK13,NEK7,NFKB2,NGFR,NLRP1,NOL3,PRKACB,PTGER4,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF11B,TNFRSF1B,TRAF3,TXNIP"
Superpathway of Methionine Degradation,0.953,0.189,1.89,1.80117,"AHCYL1,EEF1AKMT3,FTSJ1,MCEE,PCCA,PRMT3,SUOX"
Pyroptosis,1.6,0.259,1.134,1.8144,"CASP3,CASP4,CHMP3,GSDME,IL1A,IL1B,TP53"
NGF Signaling,2.78,0.207,0.655,1.8209,"AKT1,CREB3L2,IKBKE,MAP2K1,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK7,NFKB2,NGF,NGFR,PIK3C2B,PIK3R1,PIK3R3,PRKCD,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1,TP53"
Immunogenic Cell Death Signaling Pathway,2.8,0.221,0.655,1.834,"BECN1,CASP3,CASP8,DAPK3,DDIT3,EIF2A,FPR1,HSP90B1,HSPA5,IFNAR1,IL1B,IRF3,LRP1,MLKL,NFKB2,NGFR,P2RY2,TLR3,TLR4,TNFRSF11B,TNFRSF1B"
Assembly of RNA Polymerase III Complex,1.84,0.357,1,1.84,"BRF1,GTF3C3,GTF3C6,POLR3D,TBP"
p38 MAPK Signaling,0.663,0.137,2.84,1.88292,"CREB3L2,DDIT3,IL1A,IL1B,IL1RAPL1,IRAK2,MAP2K6,MAPK13,MAPKAPK2,MAPKAPK5,MYC,SRF,TGFB1,TGFB3,TNFRSF1B,TP53,TRAF2"
Protein methylation,0.948,0.235,2,1.896,"EEF2,ETFB,METTL22,PRMT3"
G Beta Gamma Signaling,0.877,0.146,2.183,1.914491,"AKT1,CACNA1F,CACNA2D2,CACNG7,CATSPER3,CAV1,EGFR,GNAI1,GNB1,GNG11,HBEGF,PAK1,PRKACB,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1"
Growth hormone receptor signaling,0.858,0.2,2.236,1.918488,"CISH,PTPN1,SOCS2,STAT5A,STAT5B"
Actin Nucleation by ARP-WASP Complex,1.36,0.176,1.414,1.92304,"ARPC4,ITGAE,ITGB3,ITGB6,ITGB8,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SOS1,WIPF1"
Intra-Golgi and retrograde Golgi-to-ER traffic,2.98,0.186,0.649,1.93402,"AGPAT3,ALPP,ARFGAP1,BET1L,COG1,COG2,COG6,COPE,COPG1,COPZ1,DYNC1I1,DYNC1LI1,GALNT1,GBF1,IGF2R,KDELR3,KIF27,KLC3,KLC4,M6PR,MAN1A2,MAN2A2,NAPA,NBAS,RAB30,RAB36,RAB6B,RAB9B,RABEPK,STX10,STX16,SYS1,TMED3,TUBA1A,USP6NL,VPS54,VTI1A,ZW10"
Role of IL-17F in Allergic Inflammatory Airway Diseases,0.872,0.174,2.236,1.949792,"CCL2,CREB3L2,IL1B,MAP2K1,NFKB2,RELA,RELB,TRAF3IP2"
FOXO-mediated transcription of cell cycle genes,1.47,0.294,1.342,1.97274,"CAV1,CDKN1A,GADD45A,RBL2,SMAD4"
TNF signaling,1.32,0.193,1.508,1.99056,"BIRC2,CASP8,IKBKE,MAPKAPK2,NSMAF,RACK1,RBCK1,SPPL2A,TRAF2,ULK1,USP21"
Folate Signaling Pathway,2.48,0.246,0.832,2.06336,"ADSL,ALDH1L1,CD274,CDKN1A,DHFR,FOLR1,GART,GGH,JAK3,MTHFD1L,MYC,NFKB2,OAS2,TP53"
